sentence_id,formality_score_from_raters,informativeness,implicature_score,length_in_words,length_in_characters,f_score,i_score,lexical_density,sentence_content,total_syllables_stop_words_excluded,total_syllables_per_word_stop_words_excluded,total_syllables_stop_words_included,total_syllables_per_word_stop_words_included,number_of_nouns,number_of_adjectives,number_of_adverbs,number_of_verbs,number_of_pronouns,number_of_stop_words,proportion_of_stop_words,number_of_spelling_and_grammatical_errors,spelling_and_grammar_errors_per_character,positive_vader_score,negative_vader_score,neutral_vader_score,compound_vader_score
6839,3.0,4.6,3.6,7,40,64.28571429,8.0,71.42857143,Wireless B works flawlessly on my ibook.,10,2.0,12,1.7142857142857142,3,0,1,1,1,2,0.286,1,0.025,0.265,0.0,0.735,0.2023
6917,5.2,4.4,4.4,11,75,54.54545455,3.818181818,63.63636364,Yet he also cautioned that the counterinsurgency operation was no cure-all.,19,3.1666666666666665,24,2.1818181818181817,3,0,1,2,1,5,0.455,0,0.0,0.0,0.18,0.82,-0.296
6919,2.0,1.8,6.0,6,31,16.66666667,5.333333333,66.66666667,Yet look at what just happened.,5,1.6666666666666667,8,1.3333333333333333,1,0,2,1,0,3,0.5,0,0.0,0.0,0.0,1.0,0.0
6916,4.0,4.4,4.0,14,92,85.71428571,4.928571429,78.57142857,"Yet both documents cover the same basic things: title, salary, benefits, term of employment.",21,2.1,25,1.7857142857142858,6,3,1,1,0,4,0.286,0,0.0,0.167,0.0,0.833,0.3818
6840,3.4,4.6,3.6,9,52,55.55555556,4.555555556,100.0,Wireless G is VERY problematic when using Linux PPC.,13,2.1666666666666665,17,1.8888888888888888,5,1,1,2,0,3,0.333,0,0.0,0.0,0.359,0.641,-0.6028
6838,3.2,4.0,4.4,18,109,63.88888889,3.555555556,66.66666667,"(WIRED) -- An anarchist social worker raided by the feds wants his computers, manuscripts and pick axes back.",24,1.8461538461538463,29,1.6111111111111112,7,2,1,2,1,5,0.278,1,0.009,0.0,0.0,1.0,0.0
6915,2.0,2.4,3.6,7,48,42.85714286,3.285714286,85.71428571,Yet another musicians showing how CwF+RtB works.,11,1.8333333333333333,12,1.7142857142857142,2,0,2,2,0,1,0.143,2,0.042,0.0,0.0,1.0,0.0
6921,3.8,4.0,6.0,13,73,65.38461538,5.0,61.53846154,"Yet you can live in the green countryside of lakes, stream and mountains.",12,1.7142857142857142,18,1.3846153846153846,4,1,1,1,1,6,0.462,0,0.0,0.0,0.0,1.0,0.0
6920,4.0,2.8,3.8,9,47,38.88888889,1.666666667,77.77777778,"Yet when the need arises, he said, ""I'm ready.""",9,1.5,12,1.3333333333333333,1,1,2,3,2,4,0.444,0,0.0,0.0,0.0,1.0,0.0
6841,2.2,5.0,3.6,9,57,61.11111111,5.555555556,66.66666667,Wireless on my ibook works flawlessly with Beryl enabled.,14,2.3333333333333335,17,1.8888888888888888,3,0,1,2,1,3,0.333,1,0.018,0.184,0.0,0.816,0.2023
6842,3.4,4.8,3.8,24,119,75.0,2.875,50.0,With a car these would not be too far from either school (about an hour for Bard and about 20 min. for Sarah Lawrence.),17,1.4166666666666667,31,1.2916666666666667,7,0,3,1,0,13,0.542,0,0.0,0.0,0.0,1.0,0.0
6843,5.0,4.2,5.0,20,131,80.0,4.5,60.0,"With all rallies canceled, the antiflu measures were expected to have an immediate impact on the campaign for Ukraine's presidency.",29,2.9,40,2.0,7,1,0,4,0,10,0.5,1,0.008,0.0,0.0,1.0,0.0
